S.No,Radius(m),particle density(kg/m^3),fluid density(kg/m^3),Viscosity(Pa.s),Terminal velocity(m/s),Drag(N),cd,Reynolds,Region,iterations,error
152,0.007,5323.0,600.0,0.05,1.3785980958374022,0.06657012367156957,0.758467205792735,231.60448010068356,Intermediate region,16,2.2292650434568537e-05
153,0.007,3500.0,600.0,0.05,1.0132448132324219,0.04087385738624598,0.8620841081626647,170.22512862304686,Intermediate region,16,9.462036526949881e-06
154,0.007,2600.0,600.0,0.05,0.7993244628906251,0.028189575452541093,0.9553777413891351,134.286509765625,Intermediate region,15,1.5664298166742576e-05
155,0.007,2267.0,600.0,0.05,0.7109335045013427,0.02349570880447257,1.0066149585273796,119.43682875622558,Intermediate region,18,2.796583961928734e-06
156,0.01,7600.0,600.0,0.05,2.3885662841796877,0.28765773804740935,0.5349711208061808,573.255908203125,Intermediate region,17,4.69840296802415e-05
157,0.01,5323.0,600.0,0.05,1.8759316966247561,0.19407457121325156,0.5851449548626292,450.2236071899415,Intermediate region,19,1.5949762757960355e-05
158,0.01,3500.0,600.0,0.05,1.3877608032226565,0.11916391910344748,0.6565146426934091,333.06259277343753,Intermediate region,17,2.4951833997691734e-05
159,0.01,2600.0,600.0,0.05,1.1011767578125,0.08218758634100254,0.7191525527531158,264.282421875,Intermediate region,15,4.2861388569653824e-05
160,0.01,2267.0,600.0,0.05,0.9824871075439453,0.0685007967328784,0.7529580401259925,235.79690581054686,Intermediate region,17,5.5407056890722425e-06
161,0.03,7600.0,600.0,0.05,5.820121994018556,7.766273589592497,0.27029304642849405,4190.48783569336,Newtons region,20,1.5507995013484986e-05
162,0.03,5323.0,600.0,0.05,4.599257270278931,5.240091789132829,0.2920450506321777,3311.4652346008306,Newtons region,20,9.946245185546693e-07
163,0.03,3500.0,600.0,0.05,3.4332754669189445,3.2174828447124275,0.3217994538747945,2471.95833618164,Newtons region,19,7.227261735375839e-06
164,0.03,2600.0,600.0,0.05,2.7464886474609376,2.219012882632004,0.34680916849908927,1977.471826171875,Newtons region,18,1.9450264693929713e-05
165,0.03,2267.0,600.0,0.05,2.461374744873046,1.849462218635459,0.35989544217284597,1772.1898163085932,Newtons region,16,2.6518116230576625e-05
